"Notes"	"Region"	"Region Code"	"Month Day, Year"	"Month Day, Year Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 01, 1979"	"1979/01/01"	36.88	34.52	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 02, 1979"	"1979/01/02"	40.25	35.97	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 03, 1979"	"1979/01/03"	38.44	11.56	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 04, 1979"	"1979/01/04"	17.47	10.17	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 05, 1979"	"1979/01/05"	13.92	8.63	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 06, 1979"	"1979/01/06"	18.39	8.70	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 07, 1979"	"1979/01/07"	28.25	17.87	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 08, 1979"	"1979/01/08"	31.57	24.21	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 09, 1979"	"1979/01/09"	24.24	13.96	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 10, 1979"	"1979/01/10"	17.81	7.91	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 11, 1979"	"1979/01/11"	8.82	-3.44	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 12, 1979"	"1979/01/12"	7.26	-5.51	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 13, 1979"	"1979/01/13"	19.53	4.73	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 14, 1979"	"1979/01/14"	32.09	17.25	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 15, 1979"	"1979/01/15"	25.99	3.61	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 16, 1979"	"1979/01/16"	11.86	2.22	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 17, 1979"	"1979/01/17"	6.09	-8.91	Missing
	"Census Region 1: Northeast"	"CENS-R1"	"Jan 18, 1979"	"1979/01/18"	7.39	-5.62	Missing
